,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
64,200,4156,4158,14952.93284,14923.0,-5986.567999999897,-0.0020018039484486216,2022-06-23 10:10:00,2022-06-23 10:20:00,0 days 00:10:00
65,-200,4159,4187,14878.088609999999,14985.166999999998,-21415.677999999753,-0.007197052847771612,2022-06-23 10:25:00,2022-06-23 12:45:00,0 days 02:20:00
66,200,4277,4308,15353.06484,15335.0,-3612.967999999819,-0.0011766276107252338,2022-06-27 10:15:00,2022-06-27 12:50:00,0 days 02:35:00
67,-200,4310,4317,15333.938129999999,15285.0,9787.625999999727,0.003191491291089421,2022-06-27 13:00:00,2022-06-27 13:35:00,0 days 00:35:00
68,-200,4343,4377,15111.011719999999,15175.0,-12797.65600000028,-0.0042345463815178785,2022-06-28 10:45:00,2022-06-28 13:35:00,0 days 02:50:00
69,-200,4451,4497,14727.138439999999,14628.0,19827.68799999976,0.006731683850457415,2022-06-30 09:45:00,2022-06-30 13:35:00,0 days 03:50:00
70,-200,4508,4557,14590.183649999999,14185.0,81036.7299999998,0.027770976686780746,2022-07-01 09:30:00,2022-07-01 13:35:00,0 days 04:05:00
71,200,4567,4584,14173.67577,14067.831,-21168.95399999994,-0.007467700808002853,2022-07-04 09:25:00,2022-07-04 10:50:00,0 days 01:25:00
72,-200,4940,4977,13945.396499999999,13907.0,7679.299999999785,0.0027533458801259902,2022-07-12 10:30:00,2022-07-12 13:35:00,0 days 03:05:00
73,-200,4987,4988,14235.300799999999,14254.0,-3739.8400000001857,-0.0013135795486669544,2022-07-13 09:25:00,2022-07-13 09:30:00,0 days 00:05:00
74,200,4989,5037,14254.7025,14278.0,4659.500000000116,0.0016343729376324667,2022-07-13 09:35:00,2022-07-13 13:35:00,0 days 04:00:00
75,-200,5047,5055,14199.31268,14300.407,-20218.86400000003,-0.007119662921599934,2022-07-14 09:25:00,2022-07-14 10:05:00,0 days 00:40:00
76,-200,5309,5337,14872.09059,14601.0,54218.11799999996,0.01822814273215101,2022-07-20 11:15:00,2022-07-20 13:35:00,0 days 02:20:00
77,-200,5347,5368,14630.17045,14659.0,-5765.910000000076,-0.001970554621938847,2022-07-21 09:25:00,2022-07-21 11:10:00,0 days 01:45:00
78,200,5369,5397,14663.837469999999,14768.0,20832.506000000285,0.007103360918525148,2022-07-21 11:15:00,2022-07-21 13:35:00,0 days 02:20:00
79,200,5647,5697,14879.908749999999,14811.0,-13781.749999999738,-0.004630992780785603,2022-07-28 09:25:00,2022-07-28 13:35:00,0 days 04:10:00
